class,text
P,"This was categorised as inadequate in the first version of thisre-view, published in theBMJ, after Debbie Lawlor had contactedauthors to obtain data on allocation concealment. Further in-formation from the author has enabled us to change this to lowrisk"
P,Central allocation by a computer
P,... patient were randomly assigned by the use of sealed envelopes...' (p.116)
P,...“Patients then remained on their individual xed doses randomized via a central call-in system to 1 of 4 treatments in a 1:2: 2:2”
Q,’Blindly allocated’ - no further description.
Q,’Blindly allocated’ - no further description.
N,’Participating clinicians were requested to refer patients whom they thought might benefit from the brief intermittent treatment approach.’
Q,’Randomly assigned’ - no further details.
P,’screening personnel were blinded to the results of the randomisation’
Q,""" the Medical Officer...administered the appropriate capsules to the mother from the sealed envelope supplied by the Statistical Section at the Camp Office."""
Q,"""... households, which were randomised to either the control or intervention group by the study co-ordinator using a computer program (STATA)"" (unclear if, once randomised, study co-ordinator referred back to randomisation lists)"
P,"""... research nurse picked a sealed envelope from a randomization box"" (so likely researchers not aware of allocation)"
P,"""...a secretary created sealed opaque envelopes containing individual codes with sequential numbers."""
P,"""...group allocation in sealed opaque envelopes prepared by the researcher."""
P,"""...placed in opaque-sealed, numbered envelopes"""
P,"""…randomly assigned by the data centre after entry into the study"""
P,"""[G]roup membership was concealed by placing the assignment slip in an opaque envelope that was not opened until after informed consent was obtained."""
Q,"""180 patients were included in the study and randomly allocated to group A or B"""
Q,"""200 patients were prospectively randomised into two groups."""
P,"""A compact disk containing the cleaned and locked database files was exchanged for the treatment randomization code, held by the Data and Safety Monitoring Board."" All members of the trial team were unaware of allocation until the data had been cleaned and locked"
P,"""A computerized system of biased urn randomisation was accessed by tele-phone by the research midwife to ascertain women’s group allocation."""
Q,"""A member of the research team opened an envelope that informed as to which group individual participants were to be allocated. Another member of the team witnessed this procedure, and the envelope was placed in the participant's case file""."
P,"""a nurse not involved in the study picked one envelope for each patient from sequentially numbered envelopes on the day of embryo transfer and informed patient about their allocated arm. Allocation concealment was ensured by the use of dark, sealed envelopes"""
Q,"""A prospective, multi-centre, randomised, comparative study to compare the effects of Acticoat 7 antimicrobial barrier dressing to Avance silver impregnated foam film dressing in the treatment of chronic venous leg ulcers"" Comment: no details of allocation concealment reported"
