class,text
Q,"... each participant's recall for the six goals was tested by a project staff member who was blind both to the therapy goals relevant to that patient and to the specific goals that had been recorded' (p.562). However, the participants were not blinded to group allocation, and the outcome measures were based on their self-report"
Q,"... the research assistant who... performed the outcome assessments (M.R.K.) was blinded [to group allocation]' (Ostelo et al. 2003, p.1758). A number of the outcome measures were however based on self-reports by participants who were not blinded to group allocation"
N,'Neither patients nor researchers were blinded to treatment'' Different dosage schedules make blinding impossible Potential knowledge of treatment may have influenced the primary outcome of MBL which was measured by PBAC
P,"'Two research assistants will be well-trained and recruited to do the assessment, and remains blind to the treatment allocation.'' Response: Low risk"
P,’by raters blind to study hypotheses’
Q,""" ...double blind..."" Clinical Study Summary (CSS). Details not reported"
P,"""... the vaccination rates were estimated through administrative data."""
Q,"""...double-blind... "" ""The patients and the rater were blind to treatment conditions"". Details not reported"
Q,"""180 patients were included in the study and randomly allocated to group A or B."""
Q,"""A 12-week, randomised, open, controlled, multicentre multinational trial...."""
N,"""A brightly coloured sticker was applied to the charts of the entire study population as a reminder to the health-care team that the study was under way and that they were expected to promote the flu vaccine.""; ""The patients would be 
told, whether by telephone or in the office, that the vaccine was available, and 
that they would be given a shot if they wished."""
P,"""A central research pharmacy over-capsulated 300 mg gabapentin and placebo capsules to appear identical"". Participants ""visually shielded from the image screen"" during injections"", had no further contact with physician"
Q,"""A clinical investigator (SK) who was not aware of the randomization collected demographic data, preoperative clinical conditions using predesigned data sheets, and perioperative data, and entered them in a database."" However, there is no mention of blinding of the assessor of the long-term outcome."
P,"""A frequency count of mouth movements (18), done by a psychiatrist blind to the study design was used to assess oral dyskinesia."""
N,"""A multicenter, randomized, open-label exploratory study"""
P,"""A research assistant blinded to randomization status gathered information from the charts of patients in both arms of the study."""
P,"""A single blind design was used with blind raters and a 6-weeks no drug control condition."""
Q,"""Active (mefenamic acid 500 mg) and placebo tablets, which were identical in appearance, were packaged in coded bottles, randomisation being provided by the manufacturer."""
P,"""After 2 years both groups were reviewed by a research worker who had not previously been involved with the subjects"" (Cupples 1994) At five year follow-up: ""nurse (performing interview) was blind to trial group allocation"" (Cupples 1999)"
Q,"""After birth of the placenta, a blinded midwife or an obstetrician not otherwise involved in the birth assessed the perineum and graded the perineal tears. Secondary outcomes and information about which shoulder was delivered first were registered by the midwife responsible for the birth.” Midwife responsible for delivery could have assessed certain outcomes differently in the knowledge of the allocation."
N,"""after the initial treatment session, research technicians were not blind to group status. Research Technicians were not aware of the patients’ group status when conducting interviews and administering measures during the initial baseline assessment and treatment session."""
P,"""After treatment, tumour responses were evaluated by an independent observer"""
N,"""All assessments were performed by CM or AT, but could not be blind because after the dressing were removed differences in colour were still apparent"""
P,"""all capsules were identical in taste, color, size, and shape"""
P,"""All claimed responses and stable diseases were to be reviewed by a panel including at least two oncologists (never reviewing their own patients), one research nurse, and one independent external radiologist blinded to treatment"""
P,"""All investigators, field and laboratory staff and study participants were blinded to the randomization code until field work was completed."""
P,"""All of the raters were blind to the treatment condition of the patients and relatives"", ""to ensure blindness the raters were instructed to remind patients and relative subjects at each visit to not disclose what kinds if treatment they were receiving""."
P,"""All patients and geriatricians"" [outcome assessors] ""were blinded to the treatment assignment, and the final randomization list was not accessed until the clinical database was completed"" (confirmed by author to mean after actigraphic analysis was completed)"
Q,"""All patients received an appropriate combination of active and placebo tablets to achieve the required dosing and maintain the study blind - implies active and placebo were indistinguishable"""
Q,"""All patients were rated by the first author and a random subset of patients were blindly rated by MB and JFM""."
P,"""All raters were unaware of the specific medication received by the patient"". (p.176)."
P,"""All ratings were completed by the same rater (N.K.), who was blind to the study medications."" (p.143)."
P,"""All ratings were made by one of two authors who were blinded to study drug assignment."""
P,"""all study medication was matched with placebo to maintain the double-blind nature of the study"""
N,"""All women observed until delivery by the primary investigator"", no blinding of assessors described"
P,"""Although contamination of the control group is sometimes a concern with such a design, it was not an issue here for two reasons: first, the financial intervention involved full Medicare reimbursement to physicians for preventive-care and health promotion packages only for those patients randomised to the intervention group; and second, the office system intervention was in effect only for patients receiving the intervention group. The control group was not identified to the practice, there was no prompting, no form, and no special preventive visit for the control-group patients""; ""Patients were informed of their random assignment only after they came into the practice for the interview"""
P,"""amoxicillin-placebo"" ""double-blind trial"""
P,"""An independent assessor blinded to the treatment groups obtained the scores""."
