class,text
N,"... there was a possibility of bias on the part of both patients and therapists, since neither was blinded to the purpose of the study' (p.59). The intervention required active involvement of the patient and healthcare professionals, so blinding not possible"
N,...none of the ward staff knew which treatment assignment the next patient would receive but they were also told of the assignment when the envelope was opened ...'
N,'Neither patients nor researchers were blinded to treatment'' Different dosage schedules make blinding impossible Potential knowledge of treatment may have influenced the primary outcome of MBL which was measured by PBAC
Q,'Two investigators will do the yoga training and aerobic exercise without knowing the assessment results.'' Participants aware of group assignment. Response: Unclear risk.
Q,""" ...double blind..."" Clinical Study Summary (CSS). Details not reported"
P,"""... the vaccination rates were estimated through administrative data."""
P,"""...double-blind conditions..."" ""Identical-appearing capsules contained olanzapine (7.5 mg), quetiapine (200 mg), risperidone (1.5 mg), perphenazine (8 mg), or ziprasidone (40 mg)."""
Q,"""...double-blind... "" ""The patients and the rater were blind to treatment conditions"" Details not reported."
P,"""...double-blind..."" ""Subjects were randomly assigned to receive either an encapsulated ethyl-EPA supplement 2 g/day... or an identical capsule containing placebo (medicinal liquid paraffin BP 2 g/day)... Trial supplies were packed by an independent contract clinical trials supplies company (DHP), who prepared the placebo and active packs for the entire trial and assigned the randomization numbers to the packs. The randomization code was broken after completion of the trial""."
P,"""...prepared and supplied the vitamin A and identical-looking placebo supplements as oily capsules in brown bottles coded as X or Y."""
N,"""...primary care physicians and patients were not blinded."""
N,"""...the trial was not blind because the treatments can easily be distinguished by colour..."""
P,"""""double-blind, ""blinded physician investigator,""Personnel blinded, details not reported for participants but we judge that par-ticipants were likely to be blinded"
P,"""[...], one of which received co-dergocrine, 4.5 mg tablets once daily for 6 weeks, and the other received an identical placebo tablet for the same period. The 2 raters, ward staff and patients were blind to the treatment procedure."""
Q,"""180 patients were included in the study and randomly allocated to group A or B."""
Q,"""A 12-week, randomised, open, controlled, multicentre multinational trial...."""
N,"""A brightly coloured sticker was applied to the charts of the entire study population as a reminder to the health-care team that the study was under way and that they were expected to promote the flu vaccine.""; ""The patients would be 
told, whether by telephone or in the office, that the vaccine was available, and 
that they would be given a shot if they wished."""
P,"""A central research pharmacy over-capsulated 300 mg gabapentin and placebo capsules to appear identical"". Participants ""visually shielded from the image screen"" during injections"", had no further contact with physician"
P,"""A group of 6 patients received placebo capsules, identical in appearance""."
N,"""A multicenter, randomized, open-label exploratory study"""
N,"""A nurse specially attached to the study taught the patients how to dress and bandage their ulcers..."""
Q,"""Active (mefenamic acid 500 mg) and placebo tablets, which were identical in appearance, were packaged in coded bottles, randomisation being provided by the manufacturer."""
N,"""after the initial treatment session, research technicians were not blind to group status. Research Technicians were not aware of the patients’ group status when conducting interviews and administering measures during the initial baseline assessment and treatment session."""
P,"""After the run-in period, patients were randomly assigned to receive either capsulized EGb-761... or an identically capsulized placebo in a double-blind manner"". ""All of the study personnel and participants were blinded to the treatment assignment for the duration of the double-blind period, except 1 study staff member in the pharmacy, who remained unblinded to provide the placebo and EGb-761 treatments"""
P,"""After treatment, tumour responses were evaluated by an independent observer"""
P,"""all capsules were identical in taste, color, size, and shape"""
Q,"""All patients received an appropriate combination of active and placebo tablets to achieve the required dosing and maintain the study blind - implies active and placebo were indistinguishable"""
P,"""All RIAs were performed by personnel blinded to the group assignment of each subject"""
P,"""all study medication was matched with placebo to maintain the double-blind nature of the study"""
P,"""Although contamination of the control group is sometimes a concern with such a design, it was not an issue here for two reasons: first, the financial intervention involved full Medicare reimbursement to physicians for preventive-care and health promotion packages only for those patients randomised to the intervention group; and second, the office system intervention was in effect only for patients receiving the intervention group. The control group was not identified to the practice, there was no prompting, no form, and no special preventive visit for the control-group patients""; ""Patients were informed of their random assignment only after they came into the practice for the interview"""
P,"""amoxicillin-placebo"" ""double-blind trial"""
P,"""Before beginning the study, a treatment randomisation scheme was generated. Patients were randomised in blocks of two to provide balance with respect to the left and right ovaries. Randomised treatment assignments were placed in sealed envelope for each patient thereby blinding the surgeon to the treatment assignment during surgery"""
P,"""blinded study"" ""placebo capsules"""
Q,"""Blinding, in the sense of blinding the investigators, was not necessary because the judgement of whether a preventive activity (including the administration of influenza vaccine) had been performed was made by searching the practice's electronic clinical record automatically""; ""Vaccinations were recorded by the doctors in their clinical record system's immunization module which used coded data entry to make the entries consistent and therefore machine-searchable. If our search found a record of influenza vaccine being given between 9th March (the start of our trial) and the 
end of June (the end of the useful immunization season), this was counted as 
influenza immunisation having been performed"""
P,"""blindly assigned (1:2 ratio) using computer generated random numbers either to integrated care (IC) or to usual care (UC)."""
P,"""Both drugs and placebo were administered in identical, color-blinded, translucent standard syringes, and raters and study personnel were blind to treatment assignment"" (Wright 2001, p.1149). [italic added by reviewers]"
P,"""Both drugs were supplied in ampules of identical appearance."" (p.257)."
N,"""Both investigators and the participants were not blinded of the intervention groups"""
Q,"""Both patients and raters were blinded to group allocation."" further details not reported."
P,"""Both the medication pills and the equivalent placebos were received in bulk from the sole manufacturer of trazodone in Brazil (Apsen Laboratory®), and the placebos were prepared to be indistinguishable in appearance with trazodone prepared as 50-mg pills. The bottles of trazodone or placebo had the same size."" ""All patients and geriatricians were blinded to the treatment assignment."""
P,"""Both the nurse injecting the study medication and the women receiving injections were blinded for allocation"""
Q,"""Both the patient and the attending physician were blinded as to the medication assignment""; no additional details provided with respect to outcome assessment"
Q,"""Both the patients and the doctors were blinded regarding the medication."" As the trial was funded by the pharmaceutical company that was responsible for randomisation and allocation concealment, it is likely that it may also have communicated with the doctors who were involved in conducting the trial."
P,"""Both the pharmacist dispensing the trial medication and the researchers were blind to the treatment received. The code for treatment allocation was only broken once the trial was completed."" ""Melatonin and placebo were identical with respect to preparation and packaging."" Blindness of participants, carers, and researchers was rated with a VAS. None of the participants could remember taking medication. Neither carers nor researchers could distinguish between treatments"
P,"""capsules that were identical in appearance"""
P,"""capsules that were identical in appearance"""
P,"""double blind and used a single placebo technique"""
Q,"""double blind phase"" no further details."
P,"""double blind study , the interventions were coded as intervention A or B by the researcher in pharmacy "". ""Participants and personnel did not know the allocation result. The two drugs were contained in capsules with same appearance"" Blinding of participants and key study personnel ensured."
P,"""double blind, double dummy design"""
P,"""double blind, double dummy"""
P,"""double blind,double dummy"""
P,"""double blind? Using placebo of the same size and appearance as conventional metronidazole and clarithromycin tablets"""
Q,"""Double blind"""
P,"""double blind"" ""antibiotic matching placebo"""
P,"""double blind"" ""Medication was supplied in identical-appearing red capsules containing 25 mg and 5 mg, respectively, of molindone and haloperidol"""
P,"""double blind"" ""placebo treatment"""
P,"""double blind"" ""The placebo with similar appearance"", Blinding of participants and key study personnel ensured."
P,"""double blind"" placebo"
P,"""double blind"" placebo"
Q,"""Double blind"", no details of blinding of participants and personnel."
Q,"""double blind"", no further details"
Q,"""double blind"", no further details."
