class,text
Q,"'A total of 140 patients were recruited and randomized, 16 of them withdrew before starting intervention. Amongst 124 participants, 9 were excluded from final analysis because of changed diagnosis during study period. 95 of 115 participants completed 12-week study''. Response: High risk, as not all participants randomised were included in the analysis. Unclear if withdrawals were the same in each study arm as no details of group assignment given of the 16 participants who withdrew."
Q,"""... a research nurse conducted a detailed audit of all participants' medical records"""
P,"""... all high-risk patients (n = 797) seen in the preceding 18 months"" were reported in the final outcome (Table II)"
P,"""[All patients] survived for the end-of-treatment-analysis without any dropouts"" (p.304). ""No patients dropped out because of side effects or adverse reactions"" (p.306)."
,"""[F]ive patients were excluded from the analysis due to protocol violations (one study, two control), a severe adverse reaction to morphine (one control) and for not meeting the inclusion criteria (one study)."" At the 3-month assessment, data from only 48 patients are given (21 in the study group, and 17 in the control group), but no explanation is given as to why 5 more patients were lost to follow-up."
P,"""11 patients dropped out from the experimental group and 2 from the control group. The reasons for dropping out of the experimental group were: premature discharge (n = 1); stress caused by preparing the relapse prevention plan (n = 2); psychotic relapse (n = 1); lack of motivation to prepare the relapse prevention plan (n = 5); and lack of time of the nurses (n = 2). The reason for dropping out of the control group was completion of the treatment (n = 2)."
P,"""17 clarithromycin treated patients lost to follow up"""
N,"""2 patients lost plug(s) from either eye during the follow-up and had new plug(s) re-inserted but were excluded from the study"" (p 208)"
P,"""25 out of 27 patients completed the study protocol"", 2 CBZ dropouts, ITT analysis (p.311)."
P,"""707 patients were randomised, out of whom 14 were ineligible"""
P,"""988 participants ≥ 65 ... were randomised, ... of the 840 (85%) who kept their appointments and were seen at the clinic 406 received the message and 434 did not."" Computerised billing data"
N,"""A total of 122 patients were allocated to each group and all completed the study"""
P,"""A total of 90 subjects [...] were randomised to zinc and 84 subjects [...] toplacebo. [......]. A total of ten subjects were lost to follow-up from the zinc-treated group and 13 subjects from the placebo group. [...] This figure repre-sents dropout rates of 11.1% and 15.4% from the zinc-treated and placebogroups, respectively.""Reasons for loss to follow-up zinc/placebo•Stopped taking pills 5/6•Started taking zinc 1/2•Gastrointestinal symptoms 1/0•Died 2/1•Poor compliance 0/1•Developed diabetes mellitus 0/1•Unavailable 1/2"
N,"""Active participants who were not seen during the influenza vaccination season were counted as not receiving the vaccine.""; ""... 10% of the charts were reviewed again by a different reviewer. For the key measures the inter-judge reliability of the chart review was better than 98% agreement.""; ""Because of expected patient attrition (e.g. mortality, moving out of town, and changing physicians) and clerical error, an average of 11% of the charts was unavailable at the post chart review per physician."""
P,"""All 19 patients completed the 10-week study."""
N,"""All analyses were by intent to treat from the time of first administration of study capsule to the mother."""
P,"""All data are presented on the intent-to-Treat population (all randomized subjects who took at least one dose of study medication). "". Clinical Study Summary (CSS) The authors actually performed modified ITT."
N,"""All patients were included in the survival evaluation, and all were assessable for antitumoural efficacy and toxicity"""
,"""Altogether 27 patients enrolled..."" One was excluded from analysis"
P,"""Baseline comparisons were conducted with all 92 subjects who were randomised, but all subsequent analyses included only those subjects who were assessed at all three time points""."
P,"""Because the sensitivity of administrative data is somewhat limited (estimated to be 62.4%, according to Kaiser Permanente Northeast Division studies), the vaccination rates presented are underestimates of the true rates."""
Q,"""Before training started, two participants in the training group and one in the control group were discharged from the hospital. These patients were not included in calculations of the discharge rates"". No further details provided."
N,"""During the interval between the patient’s registration for the trial and the actual start of chemotherapy, the general condition of nine patients (four randomised into arm A and five into arm B) deteriorated to such a degree that they received supportive treatment only. These patients are not included in the statistics of the response to treatment, toxicity, quality of life, and time to progression, but remain in the trial for survival as the primary endpoint"""
N,"""Early discontinuation rates were comparable (5 subjects each, placebo andactive).""Active 13% and placebo 10% dropouts. Reasons were reported."
N,"""Efficacy analyses were based on an intent-to-treat population"". 57 patients 
were enrolled into this multicentre study. 2 patients were withdrawn prior to 
the first administration. Therefore, the intent-to-treat population includes 55 
patients. Overall survival and PFS are presented for 55 participants. Neither 
the arm the two patients belonged to, nor the reasons for withdrawal were reported 
""39 patients were evaluable for response"", therefore the intention-to-treat 
population includes 16 no evaluable participants"
Q,"""Eight patients (2·0%) were ineligible for analysis: five withdrew informed consent, two had other malignancies, and one had stage IIIB disease without pleural effusion"" No information provided for the elderly subgroup"
P,"""FiKy subjects completed the study.""No mention of how many participants were randomised, so unclear if therewere any dropouts. Those completing the study were reported to have tolerat-ed the procedures well. There was a target of 108 h of data at each time point.Valid data at baseline: mean 105 h (range 75 to 108); valid data at the end of in-tervention: mean 107 h (range 90 to 108); ""no significant differences betweenthe groups."""
P,"""Finally 76 cases (95%) completed the 24-week study, 2 cases in the olanzapine groups withdrew due to impaired liver function, 1 case in the amisulpride group due to infectious disease, and 1 case in the FGA controlled groups withdrew due to unstable psychiatric condition"" “All data were analyzed on an intent-to-treat basis, and endpoint data were generated with the last observation carried forward (LOCF).”"
P,"""Five subjects, all receiving selegiline, dropped out prior to the completion ofweek 1 and so were not included in analysis of outcome.""29% drop out in the active medications group, not ITT."
P,"""Forty-three patients have entered the 15-month blinded study, and 4 have not yet finished. Seven participants have been withdrawn from the protocol (6 taking clozapine; one taking haloperidol). One subject from each treatment group was dropped for leukopenia.The other 5 clozapine subjects were dropped for noncompliance (1 patient), decompensation (1 patient), seizure (1 patient), hypotension (1 patient), and ECG changes (1 patient)."" Data were reported for completers only."
Q,"""Forty-two patients completed the 12-week study and 7 subjects withdrew. Four subjects dropped out due to psychotic symptom exacerbation (2 subjects during the washout period: 1 subject in the placebo group and 1 subject in the risperidone group). Another 3 subjects withdrew due to a medical condition (infectious disease, heart condition, and lung carcinoma)."""
P,"""Four (1.4%) were ineligible for the study (three in the CCG arm and one in the IG arm) for the following reasons: small-cell lung cancer histology, prior chemotherapy administration, increased bilirubinaemia prior to randomisation, absence of informed consent"""
N,"""From September 1998 to July 2000, 570 patients were enrolled in the study. Thirteen patients were ineligible because of unconfirmed histology (three patients), inadequate stage (four patients), prior chemotherapy (two patients), previous diagnosis of cancer (two patients), withdrawal of consent (one patient), and concurrent acute complication before chemotherapy (one patient)"""
Q,"""However, those who did not breastfeed their infants were not excluded from the study and received the normal follow-up for illness in their infants (i.e. follow-up was on an intention-to-treat basis).” ""The nursing mothers who were not exclusively breastfeeding were not excluded from the research, and were still followed up and assessed based on the study design, that is, in terms of “intention to treat” ."" The authors probably performed an available-case ITT. It is possible to notice an imbalanced loss of follow-up comparing the arms. In the publication about breast milk; only 4-month data are reported."
P,"""Hysteroscopy was unsuccessful in three women: two (one from each group) found the procedure too painful, and one patient fainted after the intracervical injection of saline. These women were excluded from further analysis."""
Q,"""In a modified intention-to-treat approach all patients who had attended at least one group session were included in the main analysis""; ""44 patients who were re-hospitalised or dropped out for other reasons during the period between randomization and the start of group treatment (2 to 6 months) had to be excluded. However, these patients were followed up as completely as possible."""
Q,"""In all, 79 patients were recruited but 19 were excluded for various reasons . . . [R]eplacements were recruited using the permuted block technique."" Some patients were excluded after entering the study for reasons such as failed 
spinal, infusion stopped, catheter dislodged, manpower limits, etc."
P,"""In the Avance group.....2 patients had been withdrawn due to adverse reactions"" Comment: The above information was taken from a brief, interim report. No information on withdrawals was provided in relation to the Acticoat 7 group, and no information was available for either group at the final analysis"
P,"""In the GV arm, 2 patients did not receive trial therapy because of deterioration in their condition. These 2 patients were excluded from the analysis of toxicity, response, and progression-free survival"""
N,"""Intent-to-treat analyses were used to examine all outcome variables""."
P,"""intention-to-treat analysis for the 2 groups of randomly assigned patients, with last-observation-carried-forward imputation."""
Q,"""Medical records were retrospectively reviewed at the end of the study period to ascertain whether subjects had received influenza vaccine ..."""
P,"""Nine pairs did not complete the data collection procedure after treatment or at 18 months (four in the control group and five in the treatment group"". Missing patients were not included in the final analysis."
P,"""No patient from either group needed to be hospitalised. All patients leO the hospital within 90 min after the end of the procedure."""
Q,"""no patient was lost to follow up"""
P,"""Of 216 patients accrued into the study, 23 were not evaluable..."""
Q,"""Of 267 patients randomly allocated treatment, 256 received at least one cycle of treatment."" The 11 dropout or withdrawn participants were balanced
among treatment arms with regard to number and reason of exclusion
All efficacy results were presented for 256 participants Safety results are presented for 256 participant"
Q,"""Of the 120 patients recruited, procedure was performed successfully in all, and at no point anyone was excluded from the study."""
Q,"""Of the 40 randomly assigned patients, 5 subjects (4 taking placebo and 1 taking piracetam) did not comply with the treatment regimen following the first 2 weeks of the study and were not included in the statistical analysis. Therefore, 35 patients completed phase I, and, of these, 4 patients (2 receiving placebo and 2 receiving piracetam) did not agree to continue to phase II, resulting in 31 patients completing both phases of the crossover protocol. The main reason for patient dropout was the large size and number of the capsules that they were required to take."" In the first phase there was a 12.5% dropout while in the completed cross-over trial 22.5% dropout. Patients who dropped out were not included in the analysis"
N,"""Of the 694 enrolled patients, 546 (78%) were available for assessment of adhesions during a subsequent operation"" Adhesions were assessed at second surgery only if the participant had undergone subsequent surgery over the 6 years. Arguably, study data may be skewed by not including the 21% of participants who did not require subsequent surgery. Reasons for subsequent surgery include ""laparotomy for cesarean section, laparotomy or laparoscopy for ovarian cysts, recurrent fibroids, appendectomy, cholecystectomy, extrauterine pregnancy and infertility"""
N,"""Of the 75 patients starting the trial,15 did not complete the study for reasons other than healing of the ulcer. Four failed to respond to one or both treatments and required more aggressive treatment. Two died during the study of causes unrelated to the ulcers, & 9 dropped out or failed to return. An additional 6 patients were excluded from statistical analysis"""
P,"""Of the 85 patients who entered the study, eight were excluded from data analysis because of protocol violations (e.g., an insufficient severity of TD symptoms during the baseline period or missing observations)."" One patient was discontinued due to adverse event (table 2). Actually, 19 participants were excluded from the analysis (66/85 participants, 33 in each group, were analysed. ""Analyses were performed on the 33 pairs (i.e., 33 patients in the ceruletide group vs. 33 patients in the placebo group). p. 131, 1st paragraph."
P,"""Of the eight patients who survived, seven had serial pulmonary function studies"""
P,"""Of the original 47 patients, one patient dropped out of the study because of fever of unknown origin. Nine patients in whom assessment of TD symptoms was unreliable either due to the erratic variation in symptomatology or to the emotional or situational effect unrelated to the drug treatment, were excluded from the final analyses before opening of the key code. Thus, 37 patients were available for analysis, 19 receiving Ceruletide and 18 receiving placebo"". Data not reported for 21% of the participants."
Q,"""One of the women in the EMLA group was excluded for protocol violation"". Nature of violation not specified"
P,"""One patient was discharged in the first 24 hrs [hours] after randomization and was not readmitted, and was excluded from analysis."""
P,"""One subject in the group who received phenylalanine on the first day, leL thehospital against medical advice after completing only 1 day of the study; how-ever, his data were included in the analyses"""
P,"""Only infants of mothers who remained HIV-negative to 12 months postpartum were included in the current analysis.""Attrition was 11.3% (in both the vitamin A and placebo groups) for HIV-negative women (985/9562). Adverse event data were only available for a subset of 788 women-infant pairs. The analyses were not by ITT."
P,"""Preliminary results are available for 38 women of a planned total of 100"" Withdrawal not reported"
P,"""Seven women were excluded from the study. Five of these thought to be too anxious to tolerate hysteroscopy under local anaesthesia or pharmacological sedation, two because previous conisation."""
P,"""Seventy-five female individual were selected for this study"". ""At the end, individuals who failed to take the drugs regularly or lost one of the conditions needed to qualify for the research were removed from the study. Eventually, 63 individuals remained in the study (22 in the fennel extract group, 20 in the vitamin E group and 21 in the placebo group)."" Comment: the dropout rate was 16% (12/75)."
P,"""Sixty one patients entered this study. One patient receiving cadexomer iodine was admitted to hospital for routine surgery and his ulcer was dressed inappropriately.He was withdrawn from the trial"" Study further describes 2 participants who failed to complete the study"
Q,"""SLL was planned for 146 patients,"" ""23 patients who underwent other surgical procedures (prior to SLL) were excluded,"" ""29 patients in whom the maximum myoma diameter was < 5 cm were excluded,"" ""2 women SLL was cancelled because they became pregnant."" ""Consequently, 91 patients who underwent (surgery) alone were evaluated"""
P,"""Statistical analysis was carried out on a per protocol basis."""
N,"""The analysis was done with participants in their originally assigned groups ... an intention to treat analysis."" Vaccination ascertained by chart review by research collaborators, outcomes for all 243 participants were tracked."
Q,"""The procedure failed in 15 patients because of cervical stenosis."""
P,"""The proportions of injectable RLAT and aripiprazole subjects who discontinued the study before completing two years were 29.6% and 28.4%, respectively"" and reasons for discontinuation are given. Of the original n = 355 randomised, n = 346 were included in ITT analysis."
Q,"""Thirteen randomly assigned patients (4.3%) did not fulfil the eligibility criteria and were excluded from the full analysis set. Four patients had a stage IIIB disease without malignant pleural effusion, one patient was staged as stage IIIA disease, two patients had brain metastases, two patients did not have NSCLC (one patient had small cell lung cancer and one patient a malignant melanoma), two patients revealed a Karnofsky performance status of lower than 70%, one patient did not fulfil the eligibility criteria concerning tumor size, and one patient refused treatment after randomisation"" No further details on attrition bias provided for elderly subgroup"
P,"""Three randomised patients did not receive chemotherapy because of rapidly deteriorating performance status due to progression of disease before treatment initiation. These patients were included in all analyses"""
Q,"""Three withdrew consent and one could not tolerate speculum examination."""
Q,"""Twelve patients were admitted to the study, and 10 completed the 3-week trial. One patient in the placebo group was hospitalized for congestive heart failure. One patient in the oestrogen group required psychiatric hospitalization after taking an overdose of medications; she had been depressed at the onset of the trial and became worse at the third visit during a period of severe marital discord."" Balance between groups, reasons reported."
Q,"""Twelve patients—seven in the P arm and five in the CP arm—were deemed ineligible because of stage IIIB disease without a malignant pleural effusion (n = 4), uncontrolled CNS disease (n = 2), non measurable disease (n = 1), glomerular filtration rate < 45 mL/min (n = 2), transaminases > 5x the upper limit of normal range (n = 2), and prior chemotherapy"" No information about number of elderly participants excluded"
