class,text
P,"""...none of the interactions with baseline were statistically significant...Further analyses revealed that the small age difference at baseline did not confound the levetiracetam treatment effect, nor did the small baseline differences in years of education, antipsychotic chlorpromazine equivalent dose, antipsychotic type at baseline (only atypical vs. any conventional), or gender."""
Q,"""(Tables 1, 2 and 3). Using a non-parametric test for testing differences on demographic data between treatment groups yielded no significant difference among these groups (Table 7). With respect to the regimen of medication for each patient (Tables 4, 5, 6), there was close similarity in each group. The majority of patients in each group received either haloperidol or trifluoperazine; therefore any alternative treatment differences could not be influenced by medication. However, due to the formula which is used by physicians in dispensing medication, it was not possible to use a statistical procedure for testing the equality of the three groups in this study. The sample size, sex and marital status variables was so small to preclude a statistical test on these two variables."""
P,"""A significant difference in baseline was found for the percentage of patients 
with hyperleukocytosis, but the mean white-blood-cell counts in both groups 
were similar."""
P,"""All authors have completed and submitted the ICMJE form for disclosure of potential conflicts of interest and none were reported. The authors indicate no funding support"" (p 242)."
P,"""All the study parameters in study groups 1 and 2 and in the control group were comparable with each other at the initiation of therapy"""
N,"""Although our study involved randomization and double-blind drug procedures to prevent bias, the small sample size resulted in some imbalances between groups at the first visit. Thus, the conjugated oestrogen group had less exposure to antipsychotic medication and a shorter duration of TD. They also had higher mean baseline AIMS scores than did the placebo group, thereby leaving more possibility for improvement in scores. The small sample size does not allow statistical analysis to adjust for these differences. Although we found a positive but non-significant association between duration of TD and decrease in AIMS score between visits 1 and 4, we doubt that TD duration is a confounding factor, since the direction of this association is the opposite of what we would have expected""."
Q,"""Although specific mechanical ventilation patterns may have differed between centres, each patient was treated in an established intensive care unit employing broadly accepted regimens of medical therapy"""
P,"""At baseline, no significant differences between the two groups were found ..."""
Q,"""At day 0, all 20 patients had severe orofacial dyskinesia and the two groups of patients did not differ in scores, age, duration of disease. Neuroleptic treatment was however significantly (p=0.037) longer in the placebo group than in the insulin group"". Unclear if this could have influenced bias."
Q,"""Characteristics were similar for both groups except for performance status 
(more patients having poor performance status in the supportive-care group) 
and anaemia."""
Q,"""Dosages of haloperidol, chlorprothixene and biperiden, as well as the occurrence of side effects, differed significantly (...) between the carbamazepine and placebo group"" (p.307-8)."
N,"""injury reporting was voluntary during the pre intervention and intervention 
periods. However, the nurses in charge of the study carried out active surveillance reporting of injuries during the intervention period."" This might have increased the number of cases reported."
N,"""Intervention group reported higher motivation to quit (p = 0.003). More patients in the active group (67%) believed they received the intervention than those in the placebo group (46%) (P = 0.03) at week 6."""
P,"""no major differences between the active and sham groups at baseline level"""
P,"""No significant differences were observed among the three groups regarding age, age at and time since menopause, height, weight or BMI"""
Q,"""Patients were divided, as far as possible into matched for age, sex, severity of TD, duration of psychiatric illness and duration of neuroleptic treatment. Matching for sex was exact and the maximum discrepancies between members for any pair for other variables were as follows: age ± 4 years, total Rockland TD scores ±17, duration of illness ±11years, duration of neuroleptic treatment ±5 years"" Unclear of a discrepancy of ±17 on the total Rockland TD scores is significant."
N,"""Study participants generally have ready access to the traditional devices, 
which may contaminate the evaluation, so much attention must be focused on 
appropriate experimental device distributions and traditional device removal 
prior to study initiation."" 
NSI reported in the study group may have been caused by the use of the traditional device. Based on the information available, it is not possible to separate 
NSI caused by the new devices or traditional ones."
Q,"""The data were identical with regard to patient selection and criteria used for evaluation..."""
Q,"""The demographic characteristics and baseline PANSS scores in the two treatment groups were similar, but baseline ESRS dystonia subscale and TD CGI scores differed significantly"". Unclear if the differences (confounding variables) may be biased"
N,"""The randomised allocation of the small number of patients in the pilot study results in inequalities between the 2 groups at entry and confounded comparisons of group mean values during the study"""
P,"""The ZVITAMBO Project was primarily supported by the Canadian International Development Agency (R/C Project 690/M3688), the US Agency for International Development (cooperative agreement no. HRN-A-00-97-00015-00 between Johns Hopkins University and the Office of Health and Nutrition of the"
P,"""There were no differences between treatment groups in demographic and clinical characteristics at baseline"""
N,"""We thank Japan Becton for supplying Insyte and Insyte Autoguards and Johnson & Johnson Medical for supplying protective acuvance needles."" The involvement of a medical devices manufacturing company may have potentially introduced information bias."
N,"""We thank Japan Becton for supplying Insyte and Insyte Autoguards and Johnson & Johnson Medical fro supplying protective acuvance needles."" 
The involvement of a medical devices manufacturing company may have potentially introduced information bias"
N,"""We thank Japan Becton for supplying the Insyte and Autoguard cannulae."""
Q,"""We used a minimum VT of 4 ± 0.5 ml/kg BWp rather than a Ppeak limit. We abandoned use of the Ppeak limit because of difficulty in maintaining a VT > 100 ml in some patients after several days of extracorporeal support. After the first 10 patients, we were advised to insist upon a minimum VT of about 250 ml (A. Pesenti, personal communication). Of 6 survivors receiving LFPPV-ECCO2R, 3 were maintained with the Ppeak limit and 3 with the minimum VT after we abandoned the Ppeak limit"" ""We used explicit protocols to ensure uniformity of care, with equal frequency of monitoring, consistent decision-making logic for the management of arterial oxygenation, and common PaO end points for all randomized ARDS patients from the time of randomization to extubation or death, regardless of the therapy limb"""
Q,"“Due to sample size limitations, we did not conduct formal statistical analysis beyond comparing crude differences in mean servings of vegetables and fruits.” Insufficient information was reported to determine whether childcare centres were similar at baseline or recruitment bias. No statistical method to account for clustering, but we calculated an effective sample size prior to inclusion in meta-analysis to account for this"
Q,"*57% data unaccounted for in waiting-list group, no missing data in yoga group, therefore total loss is less than 50%, but results may be prone to bias. Funding not stated. Trialists not clearly invested in the interventions."
N,"*Rapid deterioration in six participants after the initial wash-out period required an increase in dosage above the level planned for in the protocol. 
Funding: study supported by the Public Health Service Research Grant 
MH-05202-09 from the US Department of Health, Education and Welfare, 
Washington, DC (USA). Drugs used were provided by McNeil Laboratories Inc, 
Fort Washington, Pennsylvania (USA) and were supplied through McNeil Laboratories, Don Mills, Ontario (CA). 
Rating scales: raters not stated to be independent of treatment."
Q,"% male was unbalanced across groups, but other measures were well balanced (included age and baseline lung function)"
Q,"• This study was supported by grants from the National Institute of Health, the Food and Drug Administration and by the National Marfan Foundation. • The study author confirmed that no power calculation was performed to determine the sample size (personal communication). • We have judged other bias as unclear as findings from this study have not been replicated, as only a single study met the inclusion criteria."
N,< 50 participants per treatment arm
N,"1. ""In view of the increased bulk of the safety syringes new waste disposal bins 
had to be ordered and distributed round the clinics."" 
This co-intervention may have affected the number of NSI but it is not possible 
to determine. 
2. Possible conflict of interest: ""We are indebted to Septodont for their supplies, training and help."""
N,"1. Baseline was not similar among groups (high risk). 2. Cointervention: not reported (unclear risk) 3. Compliance acceptable: Only the target number of treatment sessions, not the mean number of treatment sessions received by participants was reported. (unclear risk) 4. “The control group (patient education group) was assessed at the same point of time except from the time immediately after the last treatment.” Timings of assessment were not similar among groups. (high risk)"
Q,"1. Maintenance findings. Some children resumed their usual therapy in the 4- month period to maintenance assessment. Whilst the number of children resuming usual treatment was similar between both groups, this variable may have led to increased maintenance results across both treatments 2. No control group without intervention (i.e. no wait-list control group) 3. Pre- and post-treatment assessors Qualified SLPs who had not seen the children previously conducted the 1 week, 1 month and 4 month post-assessments. In some cases, final-year undergraduate SLP students (4th-year students) conducted post-assessments. The same SLP or student SLP must not have seen/rated the children before. One researcher performed all of the pre-assessments, including probes, before allocation was revealed"
P,"1. The three treatment groups were comparable at baseline in terms of baseline pain VAS, and WOMAC pain, function and stiffness scores, for hip and knee OA separately. There were no comparisons in terms of demographic characteristics reported. (low risk) 2. Cointervention: empathic or non-empathic consultation (“Patients were first randomised to treatment type and consultation type, and then to specific practitioners.”) Participants were permitted to continue taking analgesia tablet. (low risk) 3. Compliance acceptable: Only the target number of treatment sessions, not the mean number of treatment sessions, received by participants was reported. [The mean number (SD) of treatment sessions received by participants with knee OA were 7.67 (0.82) for RA, 7.78 (0.76) for SN and 7.60 (1.11) for MES.] (low risk) 4. Timing of the outcome assessment similar?: All three groups were assessed for the outcomes at the same time points. (low risk) 5. Free of interaction?: “ANCOVA at week 5 showed no significant effect on immediate post-treatment pain of the factors practitioner, treatment, and consultation type, and their first-order interactions with all of the possible baseline confounders as covariates (age, sex, joint, previous knowledge of acupuncture, credibility, CARE score, and HCAMQ scores).” (low risk)"
Q,"1. The two treatment groups were comparable at baseline in terms of age, height, weight, BMI and baseline pain, hip function handicap, life quality and overall assessment. (low risk) 2. Cointerventions: not reported (unclear risk) 3. Compliance acceptable: Only the target number of treatment sessions, not the mean number of treatment sessions received by participants was reported. (unclear risk) 4. Timing of the outcome assessment similar?: Both groups were assessed for VAS pain and hip function handicap at baseline, 9 weeks, and 29 weeks. (low risk)"
N,"1. The two treatment groups were comparable at baseline in terms of sex, age, and baseline modified WOMAC total score. (low risk) 2. Cointervention: not reported (unclear risk) 3. Compliance acceptable: Only the target number of treatment sessions, not the mean number of treatment sessions received by participants was reported. (unclear risk) 4. Timing of the outcome assessment similar?: Both groups were assessed for modified WOMAC total score at baseline, post-treatment at 6 weeks and follow-up at 14 weeks. (low risk)"
Q,"1. The two treatment groups were comparable at baseline in terms of sex, age, and baseline VAS pain, Harris pain, function, movement and total scores. (low risk) 2. Cointervention: “Other treatment such as NSAIDs (e.g. Acetaminophen, Meloxicam, Glucosamine Hydrochloride, etc.), glucocorticoid, thyrocalcitonin and physiotherapy were stopped 1 week before observation and during the observation.” (low risk) 3. Compliance acceptable: Only the target number of treatment sessions, not the mean number of treatment sessions received by participants was reported. (unclear risk) 4. Timing of the outcome assessment similar?: Both groups were assessed for VAS pain, Harris pain, function, movement and total score at baseline and post-treatment at 4 weeks. (low risk)"
Q,"1. The two treatment groups were comparable at baseline in terms of WOMAC scores. (low risk) 2. Cointervention was not reported. (unclear risk) 3. Compliance acceptable: ""Patients in the acupuncture groups received a mean ± SD of 10.7 ± 3.9 acupuncture sessions (randomized acupuncture group 10.8 ± 2.1,...)."" (low risk) 4. Timing of the outcome assessment similar?: Both groups were assessed for modified WOMAC total score at baseline, 13 weeks and 26 weeks. (low risk)"
N,10 participants per treatment group
N,15 participants per treatment arm
Q,2 planned interim analyses
N,20% attrition rate. The intervention took part in group sessions at clinics but there was no account for clinic level biases through a random-effects term. Unclear if the participants benefited from other ongoing interventions during the study period.
P,3 authors declared conflicting interests (employees of funders); blind to treatment allocation
P,3 authors declared conflicting interests (employees of funders); blind to treatment allocation
P,"3 cases not laboratory-confirmed, but only a small number."
N,3/23 smokers in the intervention group vs 8/23 smokers in the control group (p=0. 084)
N,40 per treatment arm
Q,60 per arm
Q,9.5% of participants had comorbidities that may have affected healing rate and time.
N,A feedback session took place in both intervention and control units 3 months after intervention
Q,A slight baseline imbalance in mean age was described as non-significant.
Q,A slight baseline imbalance was noted in terms of mean age and mean number of previous hospitalisations (14 in the risperidone group and 9.7 in the quetiapine group).
N,ABHR dispensers installed hospital wide during study; 1 MRSA outbreak
N,Abstract only
N,Abstract only
Q,Abstract only.
Q,Abstract only.
Q,"Abstract, so limited details for assessment"
N,Additional measures taken for H1N1
Q,"Additional visit for nephrostomy and ureteral stent removal might be necessary, but no information was given."
Q,"Adequate music therapy method: unclear (highly structured approach, relational aspects unclear). Adequate music therapy training: yes (based on a general statement in the paper: ’qualified music therapists’, and personal communication with the authors). No personal, financial, or any other interests producing bias could be found"
Q,Adequate music therapy method: unclear Adequate music therapy training: unclear
Q,Adequate music therapy method: unclear Adequate music therapy training: unclear
P,Adequate music therapy method: yes Adequate music therapy training: yes
P,Adequate music therapy method: yes Adequate music therapy training: yes
P,Adequate music therapy method: yes Adequate music therapy training: yes
P,Adequate music therapy method: yes Adequate music therapy training: yes
P,Adequate music therapy method: yes Adequate music therapy training: yes
P,Adequate music therapy method: yes Adequate music therapy training: yes
P,Adequate music therapy method: yes Adequate music therapy training: yes
P,Adequate music therapy method: yes Adequate music therapy training: yes
Q,"Adequate music therapy method: yes. Adequate music therapy training: unclear (music therapy was conducted by nurses with ’music therapy ability’). No personal, financial, or any other interests producing bias could be found"
Q,"Adequate music therapy method: yes. Adequate music therapy training: unclear (no information was given, if the persons conducting music therapy, nurses and probably psychiatrists, were trained in music therapy). No financial, personal or other interests producing bias detected"
P,"Adequate music therapy method: yes. Adequate music therapy training: yes (all music therapists attended an approved music therapy course and received fortnightly supervision). No personal, financial, or any other interests producing bias could be found"
P,"Adequate music therapy method: yes. Adequate music therapy training: yes (based on a general statement: ’qualified music therapists’ and a reference in the article). No financial, personal or other interests producing bias detected"
P,"Adequate music therapy method: yes. Adequate music therapy training: yes (music therapists provided music therapy in accordance with a therapy manual). No financial, personal or other interests"
P,"Adequate music therapy method: yes. Adequate music therapy training: yes (music therapy was conducted by research assistant with training of music therapy in group setting). No personal, financial, or any other interests producing bias could be found"
P,"Adequate music therapy method: yes. Adequate music therapy training: yes. Music therapy was conducted by two music therapists. No personal, financial, or any other interests producing bias could be found"
