class,text
Q,The method of randomisation is not described in the paper
P,"Conditional randomisation, stratified by age, gender and de-pression severity"
Q,"... this group-randomized trial"" (E-mail from author Dr C Kiefe: ""We randomised the physicians and then reviewed the medical records of their participants to ascertain whether flu vaccine was documented."")"
Q,"‘Randomly assigned’, no further details"
Q,"""... half were randomly selected to receive the postcard reminder in addition to the standard member educational materials (intervention group), and the other half did not receive a postcard (control group)."""
P,"""... households, which were randomised to either the control or intervention group by the study co-ordinator using a computer program (STATA)"""
Q,"""... participants were randomly allocated by family"""
Q,"""... participants were randomly assigned"" (no statement about method)"
Q,"""... physicians were randomly assigned"" (no statement about method)"
Q,"""... randomised by strata into intervention or control"" (no statement about method)"
Q,"""... randomly assigned"""
P,"""... research nurse picked a sealed envelope from a randomization box"""
P,"""... systematic allocation of alternate respondents to either control or intervention"""
P,"""...complied using...book of random numbers."""
P,"""...divided the clusters into three strata containing six clusters each based on 
neonatal mortality rate. An independent epidemiologist generated 10 stratified randomisation schemes to allocate the clusters to intervention or control groups. The authors examined all 10 potential randomisation schemes, 
and excluded three because of chance large differences between the groups. 
The authors then randomly selected one of the remaining seven allocation 
schemes by a computer generated random number"""
P,"""...randomised into on of two groups using numbers generated randomly by a computer"" further detail of the nature of the generation given"
P,"""...women were assigned, by use of random number tables"" (Clark 2000)"
Q,"""180 patients were included in the study and randomly allocated to group A or B"""
Q,"""20 patients were randomly divided"", further details not reported"
Q,"""200 patients were prospectively randomised into two groups."""
Q,"""200 patients with VLUs assessed by continuous wave ultrasound and plethysmography were randomly allocated to each treatment group, stratified by initial maximum ulcer diameter 2-4 cm and >4 cm, using a block length of 4 within each strata."" It was not stated how the sequence was generated"
Q,"""a prospective randomized comparison"""
P,"""A randomisation list was generated by the sponsor by SAS program and used 
to number the vaccine and placebo treatments""; ""A randomization blocking 
scheme (2:1) was employed to ensure that balance between treatments was 
maintained."""
Q,"""A randomisation list was used."""
Q,"""A randomised, single-blind, controlled trial ..."""
P,"""A simple randomisation procedure using a computer-generated list of random numbers"""
P,"""A telephone-based central service was used to randomly assign eligible patients"" (p.108)."
Q,"""A total of 63 patients were enrolled in this prospective randomised controlled study."" It was not stated how the sequence was generated"
P,"""A total of 88 consecutive women undergoing outpatient hysteroscopy were allocated in a double-blind manner to one of two groups using a pre determined randomization code."""
Q,"""Active (mefenamic acid 500 mg) and placebo tablets, which were identical in appearance, were packaged in coded bottles, randomisation being provided by the manufacturer."""
N,"""After a random start participants were alternately assigned to each group, though related participants and those living in a single household were kept in the same group."""
P,"""After this, and after a thorough eligibility check, randomisation between a treatment with GEM or PV was carried out by fax at a central location for all sites"" Randomization performed according to CONSORT guidelines"
Q,"""All 988 participants ... were randomised ..."" (no method stated)"
Q,"""All patients were sequentially numbered and received a bottle bearing their individual sequence number and containing double-blind tablets. These tablets randomly contained either 50 mg of levamisole (30 patients) or a placebo (29 patients) and were identical in appearance."" It was not stated how the randomisation sequence was generated"
Q,"""All physicians ... were randomised."" (no statement about method)"
P,"""All physicians in the practice were stratified based on level of training and randomly assigned to one of three groups via a computerised randomization program"""
P,"""An independent person generated the allocation sequence using computer generated random numbers in a 3 block table"""
P,"""An independent person generated the allocation sequence using computer generated random numbers"""
P,"""An independent research assistant at a distant site used computer randomisation to allocate general practitioners to intervention or control group and this was concealed until the interview began."""
P,"""An independent researcher conducted block randomisation using a computer generated randomisation list."""
Q,"""Assigned by a series of random numbers,"" but it is not clear how it is generated."
P,"""assigned by a table of random numbers."" (p.142)"
N,"""Assignment of catheter type was randomised by week"""
P,"""Balanced randomization blocks of four each consisting of equal numbers"" for the 2 treatment groups."
P,"""Block randomisation was used. Microsoft Excel was used to randomly create blocks of four (ABAB, AABB, etc.) or six (ABABAB, AAABBB, etc.)"" (p.224)."
P,"""block-of-three randomization list was used"""
P,"""Central randomisation using a minimization algorithm was performed by calling the ELCWP central office"""
Q,"""Chemotherapy-naïve patients >70y old with stage IIIB/IV NSCLC and performance status (PS) 0-2 were stratified according to stage and PS and randomised to either D 30 mg/m2 plus G 900mg/m2 (days 1 and 8) or G 1,200mg/ m2 (days 1 and 8) every 21 days"" - no further information available on randomization process"
P,"""Computer generated random sequence"""
P,"""computer generated randomisation list"""
P,"""Computer generated sequences"""
P,"""Computer-generated ... schedule"""
P,"""Computer-generated assignment."""
P,"""computer-generated code"""
P,"""computer-generated random numeric table"""
P,"""computer-generated random table"""
P,"""computer-generated randomisation code"""
P,"""computer-generated randomisation scheme"""
P,"""computer-generated randomisation scheme"""
P,"""Computer-generated randomization schedule"""
P,"""Computer-generated randomization tables, stratified by site"""
P,"""Computer-generated randomization"""
P,"""Computer-generated sequence of random numbers."""
P,"""Computer-generated table of random numbers""."
P,"""computerised random table"""
P,"""Computerized block randomization was done by an independent research assistant (TY) who otherwise was not engaged in the study. The anaesthesiologist assistant nurse, who opened sealed opaque envelopes containing the randomization result, allocated patients into each group."""
P,"""Computerized randomization assigned""."
P,"""Dynamic randomization was used to assign patients to treatment"""
P,"""Each patient was randomly allocated to receive either lignocaine 1 % or normal saline intra cervically. Randomization was performed using a predetermined randomization code in a double blind fashion."""
Q,"""Each site implemented a random assignment procedure."" ""Most sites used stratified random assignment, using stratifiers such as ethnicity, age of mother, and service sites."""
P,"""Each student was placed randomly in one of three groups – vitamin E, fennel extract or placebo (each group consisted of 25 individuals) – by means of 1:1: 1 randomness and the table of random numbers."""
P,"""electronic randomization scheme that was stratified by site"""
P,"""Eligible participants were randomly assigned ... by a research assistant not affiliated with the HSO using a random number table. The randomization schedule was developed by another research assistant, who was not involved in the randomization process."""
P,"""Eligible patients were centrally registered and stratified according to age, PS and stage of the disease"""
P,"""Eligible patients were randomised by telephone to receive either cisplatin or epirubicin both with gemcitabine"""
P,"""Eligible patients were randomised centrally and stratified by centre and by disease stage, IIIB/IV or relapsing"""
P,"""Eligible patients were randomly assigned to 1 of the 2 treatment arms by a minimization method with disease stage (IIIB vs. IV) and body weight loss in the previous 6 months (<5% vs. >5%) as stratifying variables. Randomization was performed at the West Japan Thoracic Oncology Group (now known as the West Japan Oncology Group) Data Center"""
Q,"""Fifteen practices were randomised to intervention and 15 to the control group after stratifying for baseline vaccination rate."""
P,"""Following screening, and when consent was provided, patients were randomised via remote phone allocation to either treatment group"" Comment: This was judged to be a satisfactory method of random sequence generation"
P,"""For the randomization procedure, 58 sealed envelopes enclosed a note of either the study or the control group. A blinded operating room nurse drew an envelope, which allocated the patient to one of the groups."""
Q,"""Forty-two patients were included in the study and were randomised into two groups"" Comment: No information was reported on the method of random sequence generation"
Q,"""Four groups of nursing divisions were prospectively randomised to use one of 
the two safety devices"""
Q,"""Four groups of nursing divisions were prospectively randomised to use one of 
the two safety devices"""
P,"""generated by a computer program using permuted blocks (Cupples 1996)."""
Q,"""High-risk patients were randomly allocated to one of four groups."" (no statement about method of randomisation)"
N,"""Households in all states had an equal probability of assignment into the intervention group."" ""The simple randomisation code was developed by using a computer random number generator between the values of 0 and 1 so that the control group was 3 times as large as the intervention group."""
Q,"""In each part of the study, patients were randomly allocated intro three 
groups. Block randomisation (in block of 15) was used for the allocation and 
cards indicating allocations we placed in a serially numbered, sealed opaque 
envelope""."
Q,"""In each part of the study, patients were randomly allocated intro three 
groups. Block randomisation (in blocks of 15) was used for the allocation. No 
additional information available on randomisation process."
P,"""individual seniors within PCCs to intervention or standard-of-care control groups"" according to whether last digit of Social Security number odd or even"
P,"""Individuals were randomly assigned by use of a centralised telephone system"" 
""Randomisation was done in blocks, with block sizes greater than two"""
Q,"""Lottery method"""
P,"""minimisation algorithm by the trial statistician""."
Q,"""n=42 were randomly allocated to treatment""; it was not stated how the sequence was generated"
P,"""Not stratified, 50:50 uniform distribution of groups of 4"" - unclear exactly how randomised."
Q,"""participants were assigned randomly"" (no statement about method)"
P,"""Participants were randomized in a 2:1 ratio to receive a single injection of 0.5 
mL IIV3 or placebo, administered intramuscularly into the deltoid muscle.” 
“The randomization code was prepared by a statistician, employed by CSL 
Limited, with the use of SAS software (version 9.1.3; SAS Institute, Cary, NC, 
USA ...”"
Q,"""participants were randomly assigned"""
Q,"""patients randomly assigned to groups""; it was not stated how the sequence was generated"
Q,"""Patients were allocated blindly and at random to the standard treatment or to cadexomer iodine."" It was not stated how the sequence was generated"
P,"""Patients were allocated to the two treatment groups by a simple randomization method (closed envelopes)."""
P,"""Patients were assigned randomly to receive the GC regimen or the GV regimen and were stratified by disease stage (Stage IIIB vs. Stage IV), prior treatment (yes vs. no), and institution"""
P,"""Patients were centrally randomised and stratified according to age, PS (older than 65 year vs younger) PS (2 vs 0-1) and stage of disease (IIIB vs IV)"" Elderly subgroup not planned"
P,"""Patients were centrally randomised by computer at a one-to-one ratio to receive either cisplatin and docetaxel (group 1) or gemcitabine and docetaxel (group 2). The allocation to either regimen was done by stratified randomisation according to age, performance status and stage of disease"""
Q,"""Patients were entered into the study only after review and approval of entry criteria by a screening authorization committee on call 24 hours a day"""
Q,"""Patients were initially randomly assigned"", further details not reported"
Q,"""Patients were prospectively randomized"""
Q,"""Patients were randomise to receive either..."" No further information on randomization process provided"
Q,"""Patients were randomised into the vinorelbine (V) or vinorelbine plus cisplatin (VP) treatment arm by an outside centre not involved in the study"" - no further information regarding randomization process"
Q,"""Patients were randomised to be treated...."" No further information no random sequence generation"
Q,"""patients were randomised to receive one of three treatments""; it was not stated how the sequence was generated"
Q,"""Patients were randomised to receive vinorelbine(...)"" Random sequence generation not reported"
Q,"""Patients were randomised to two treatment groups."" It was not stated how the sequence was generated"
P,"""Patients were randomized individually to one of eight conditions by the second author using a random number generator but were not blinded to condition (presence or type of survey administered)"""
P,"""Patients were randomly allocated to receive DC or DG stratified by study centre, disease stage (IIIB or IV) and sex"""
Q,"""patients were randomly assigned to either the standard or cadexomer iodine group""; it was not stated how the sequence was generated"
P,"""Patients were randomly assigned to receive either GV or GVP. Before random assignment, patients were stratified according to participating centre. Randomization (stratified block randomisation with enclosed block length) was performed centrally by the Department of Biostatistics of the German Cancer Research Center (Heidelberg, Germany) using facsimile forms"""
Q,"""Patients were randomly assigned to receive either..."""
P,"""Patients were randomly assigned to receive the DC regimen or the DI regimen by a minimisation method using stage (IIIB/IV) and treatment institution"""
P,"""Patients were randomly assigned to treatment through dynamic allocation 
designed to balance assignment for stratification factors"""
Q,"""Patients were randomly assigned"""
