class,text
P,"""If the operator considered the patient's vein unsuitable for placing an 18 G catheter, the patient was excluded from the protocol"""
Q,"""In breach of the study protocol midazolam was given nine times simultaneously with the study drug"" (p.226); no further evidence of selective reporting."
Q,"""Intravenenous-therapy related injuries were categorized further as follows: 
low-risk injuries involved needles without direct blood contact; intermediate 
risk injuries involved needles likely to have occult blood present and high risk 
injuries involved needles in direct contact with blood."" However, there is no information available based on this categorization stipulated in the method section."
Q,"""Judgments of the attribution of an event to the study drug were made independently by 2 of the investigators, with consideration of the clinical events and assessments surrounding the event, whether medication was administered to treat the event, and whether any other action was implemented."" Comment: unclear whether bias might have been introduced in this process of adjudicating on events."
N,"""Other ocular functions assessed included ocular vision and photostress recover tests (These observations are being analysed and will be reported later)"""
P,"""Patient Global Impression - severity (PGI-S) only assessed at baseline"". Otherwise, paper reports all results"
N,"""patients continued to receive treatment with a benzodiazepine, if necessary, for the duration of their stay in the emergency department."" (p.176). The amount was not reported."
P,"""The primary outcomes were efficacy in adequate sedation and completing of CT scan. Secondary outcomes included clinical side effects, serious adverse events.” The author reported data on rate of successful CT brain and Ramsay Sedation Score for the primary outcomes. In addition, time from drug administration to adequately sedated, time after taking the drug to completing CT scan, caregiver's satisfaction scale, and total stay time in CT centre were also reported."
P,"“... aimed to compare the efficacy and safety of oral chloral hydrate and dexmedetomidine in achieving adequate sedation for sleep EEG recordings in children.” “The primary aim of the study was to evaluate the efficacy of sedation induction for successful recording of sleep EEG. Secondary outcome measures included times of sedation and adverse effects of different dexmedetomidine and chloral hydrate doses.” The prespecified outcome of sedation failure rate in each group, as well as induction time, recovery time, and adverse reactions were evaluated."
N,"“A slightly modified version of the WOMAC (Western Ontario and McMaster Universities) osteoarthritis index was used as the outcome measure (Appendix 1)” at baseline, post-treatment and 8 weeks follow-up. From author: Their modified version had 16 questions rather than the full 24 questions. The major modification was that some of the function questions from the original WOMAC were dropped so that the questionnaire could be made shorter. Authors only reported WOMAC totals and not the WOMAC pain and function subscores. (unpublished information)."
Q,"“In assessing the side-effects, in Dill group, two students reported menstrual changes as increasing in amount and duration of bleeding and one student reported gastrointestinal discomfort. In mefenamic acid group, menstrual changes and gastrointestinal discomfort were reported in one and two students, respectively. In placebo group, each of the mentioned side-effects was only observed in one student.” Comment: the study authors did not prespecify adverse events and rate of satisfaction as the outcomes, but reported them in the text and table 3, respectively. In addition, the number of participants in each group was not entirely clear."
Q,"“In the rhubarb group, six (20%) patients were given the history of side effects out of which two patients complained bloating and four patients diarrhoea for the last two days of last cycle. As diarrhoea and bloating were mild and were not so much troubling, so the trial continued. No other side effects such as heart burn, abdominal pain and vomiting were reported by patients.” Comment: it is unclear whether or not data on adverse effects was collected systematically in both groups."
Q,"“Outcomes not addressed here will be presented in future papers.” Insufficient evidence to determine, as it appears that future papers with additional outcomes are planned"
Q,"“Systemic symptoms of dysmenorrhoea (fatigue, headache, nausea, vomiting, lack of energy, syncope) decreased in the fenugreek seed group (p<0.05). No side effects were reported in the fenugreek group.” Comment: it is unclear whether or not the study authors collected data on adverse effects systematically in both groups"
P,"[For each of the three treatment groups, WOMAC pain, function and stiffness post-treatment means and standard deviations, as well as mean changes and standard deviations of changes from baseline, were provided by Peter White.] The result of quality of life (Nottingham Health Profile) score was not reported in the publication but the publication state that ""All scores for Western Ontario and McMaster University Osteoarthritis Index and Nottingham Health Profile improved in all groups, with no significant differences between treatment or consultation types.” (page 457, section 3.3, Secondary outcomes) Adverse events and side effects during trial were reported. (page 458, section 3.4, Blinding and Table 7)"
P,1 measuring instrument used (10 cm VAS) and data reported in 1 standard manner. All time points stated to have data collected were reported. Did not record change from baseline. Did not convert to dichotomous outcomes
P,1 measuring instrument used (10 cm VAS) and data reported in 1 standard manner. All time points stated to have data collected were reported. Did not record change from baseline. Did not convert to dichotomous outcomes
P,1 measuring instrument used (10 cm VAS) and data reported in 1 standard manner. All time points stated to have data collected were reported. Did not record change from baseline. Did not convert to dichotomous outcomes
P,1 measuring instrument used (10 cm VAS) and data reported in 1 standard manner. All time points stated to have data collected were reported. Did not record change from baseline. Did not convert to dichotomous outcomes
P,1 measuring instrument used (10 cm VAS) and data reported in 1 standard manner. All time points stated to have data collected were reported. Did not record change from baseline. Did not convert to dichotomous outcomes
P,1 measuring instrument used (10 cm VAS) and data reported in 1 standard manner. All time points stated to have data collected were reported. Did not record change from baseline. Did not convert to dichotomous outcomes
P,1 measuring instrument used (10 cm VAS) and data reported in 1 standard manner. All time points stated to have data collected were reported. Did not record change from baseline. Did not convert to dichotomous outcomes
P,1 measuring instrument used (10 cm VAS) and data reported in 1 standard manner. All time points stated to have data collected were reported. Did not record change from baseline. Did not convert to dichotomous outcomes. Insufficient evidence of under reporting
P,"1 measuring instrument used (10 cm VAS) and data reported in 1 standard manner. All time points stated to have data collected were reported. Did not record change from baseline. Did not convert to dichotomous outcomes. The P values were described as not significant but were not actually reported, which may suggest an element of under reporting"
P,1 measuring instrument used (10 cm VAS) and data reported; data were further subgrouped into those receiving hormonal treatment. All time points stated to have data collected were reported. Did not record change from baseline. Did not convert to dichotomous outcomes but data presented as percentages in the abstract. SE stated rather than SDs
N,"1 measuring instrument used (11-point scale). Data were reported in a graphical form as well as numerical form. However, these data could not be accurately included within the review as the P values and SDs were described as not significant but were not actually reported, which may indicate an element of under reporting. All time points stated to have data collected were reported in the graph, but could not be interpreted accurately. Did not record change from baseline. Did not convert to dichotomous outcomes"
P,1 measuring instrument used (20 cm VAS) and data reported in 1 standard manner. All time points stated to have data collected were reported. Did not record change from baseline. Did not convert to dichotomous outcomes. Insufficient evidence of under reporting
P,1 measuring instrument used (20 cm VAS) and data reported in 1 standard manner. All time points stated to have data collected were reported. Did not record change from baseline. Did not convert to dichotomous outcomes. Insufficient evidence of under reporting
Q,1 measuring instrument used (4-point descriptive scale) and data reported in 1 standard manner. All time points stated to have data collected were reported. Did not record change from baseline. Data converted into two dichotomous groups
Q,1 measuring instrument used (6-point present pain intensity scale). All time points stated to have data collected were reported. Did not record change from baseline. Did not convert to dichotomous outcomes.Total area under curve also presented
P,1 measuring instrument was used (10 cm VAS). All time points stated to have data collected were reported. Did not record change from baseline. Did not convert to dichotomous outcomes
Q,1 measuring instrument was used (10 cm VAS). All time points stated to have data collected were reported. Did not record change from baseline. Did not convert to dichotomous outcomes. Pain outcomes reported as median scores and not means.
P,1 measuring instrument was used (NRS 0–10) and the data were reported in 1 standard manner. All time points stated to have data collected were reported. Did not record change from baseline. Did not convert to dichotomous outcomes
Q,1 measuring instrument was used (NRS 0–10) and the data were reported in 1 standard manner. All time points stated to have data collected were reported. Did not record change from baseline. Did not convert to dichotomous outcomes. Pain score outcomes were reported as medians
